Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/05  17:00:00,257.339282919,32.6208512685,36.3655486267,1.24964552952,37.1018798503,116.476155989,94.807987624,84.8822195646,9.90576805939,0.02
 01/05  18:00:00,263.299075311,32.0893619357,34.1100498012,1.40347373707,37.1018798503,116.476155989,107.437136823,88.9161731076,9.90576805939,8.61519565634
 01/05  19:00:00,174.813261563,29.1926352012,26.0071821142,0.0,24.7345865669,47.5788473902,76.572380995,71.5994969653,4.9528840297,0.02
 01/05  20:00:00,173.837943142,29.9277184466,23.5444119109,0.0,24.7345865669,47.5788473902,83.5965803704,78.6236963407,4.9528840297,0.02
 01/05  21:00:00,150.438438957,28.2125242074,22.4029273485,0.0,12.3672932834,38.6892022431,97.5816639932,94.5899335754,2.97173041782,0.02
 01/05  22:00:00,104.604778673,17.6135922201,14.2329148944,0.0,12.3672932834,27.0668015668,66.062650837,63.0709204192,2.97173041782,0.02
 01/05  23:00:00,103.61679543,23.265409091,18.2288392834,0.0,4.12243109448,15.9888894789,94.3599607848,91.368230367,2.97173041782,0.02
 01/05  24:00:00,89.3702510279,19.4617568008,14.0198333397,0.0739437504537,4.12243109448,15.9888894789,78.1139143975,75.1221839797,2.97173041782,0.02
 01/06  01:00:00,99.4768016973,24.180179352,16.6153635666,0.279085372645,4.12243109448,15.9888894789,100.161779272,97.1700488544,2.97173041782,0.02
 01/06  02:00:00,85.4864764994,18.9717013039,12.8470222301,0.287872289572,4.12243109448,15.9888894789,81.7993711852,78.8076407674,2.97173041782,0.02
 01/06  03:00:00,96.9554096995,24.0821682526,15.2058749216,0.904167970122,4.12243109448,15.9888894789,103.679417481,100.687687063,2.97173041782,0.02
 01/06  04:00:00,87.4821237676,19.7067845493,11.7570812669,1.68525161724,4.12243109448,15.9888894789,84.1085472576,81.1168168398,2.97173041782,0.02
 01/06  05:00:00,129.021648744,29.5520092323,16.3351055463,2.24154099009,12.3672932834,24.9413748627,117.942013426,112.969129397,4.9528840297,0.02
 01/06  06:00:00,153.397669065,29.7461941298,18.8975844434,23.5211142675,12.3672932834,24.9413748627,185.086748642,180.113864612,4.9528840297,0.02
 01/06  07:00:00,209.797029655,30.8290444995,18.7399886056,23.6977109687,24.7345865669,70.7195625826,151.606718,141.68094994,9.90576805939,0.02
 01/06  08:00:00,226.550215203,30.9329117324,18.8649263973,17.7782267271,37.1018798503,92.3937384068,141.217080441,122.704182286,9.90576805939,8.60713009543
 01/06  09:00:00,221.859457347,31.0296751665,19.9655998535,13.4728824137,37.1018798503,104.434947198,125.013231141,115.087463082,9.90576805939,0.02
 01/06  10:00:00,236.02363201,31.1242052974,21.8162936592,9.49431254692,37.1018798503,116.476155989,117.897740558,107.971972499,9.90576805939,0.02
 01/06  11:00:00,240.228755829,31.2861223298,24.3264710236,7.17947728542,37.1018798503,116.476155989,119.642970745,101.109503327,9.90576805939,8.62769935913
 01/06  12:00:00,240.216272393,31.5627231195,26.4132862518,5.99467630673,37.1018798503,116.476155989,106.460488715,96.5347206552,9.90576805939,0.02
 01/06  13:00:00,233.880678747,31.8842962366,30.1784468714,5.07435725661,37.1018798503,104.434947198,102.708417318,92.782649259,9.90576805939,0.02
 01/06  14:00:00,248.924071674,32.1771486144,32.8219103707,4.00766846703,37.1018798503,116.476155989,108.172405435,89.6375158189,9.90576805939,8.62912155721
 01/06  15:00:00,252.483152811,32.4053226507,34.8413924165,3.0387601928,37.1018798503,116.476155989,97.0734305446,87.1476624853,9.90576805939,0.02
 01/06  16:00:00,252.628636836,32.5170162783,36.2974856051,2.19005676373,37.1018798503,116.476155989,104.145123255,85.6137503125,9.90576805939,8.62560488352
 01/06  17:00:00,251.353803027,32.4126207007,36.2181864811,1.88225048483,37.1018798503,116.476155989,95.7118518613,85.786083802,9.90576805939,0.02
 01/06  18:00:00,256.82310163,31.9207485489,34.005236721,1.94975095003,37.1018798503,116.476155989,99.8950901791,89.9693221197,9.90576805939,0.02
 01/06  19:00:00,168.181568403,29.1926352012,25.2497084147,0.0,24.7345865669,47.5788473902,77.6140875677,72.641203538,4.9528840297,0.02
 01/06  20:00:00,163.437685869,29.9277184466,22.7268642083,0.0,24.7345865669,47.5788473902,85.0067342976,80.0338502679,4.9528840297,0.02
 01/06  21:00:00,136.584440835,28.2125242074,20.2799116379,0.00370363664543,12.3672932834,38.6892022431,99.74395445,96.7522240321,2.97173041782,0.02
 01/06  22:00:00,107.545553026,22.2340036719,15.4838437289,0.00899513539837,12.3672932834,27.0668015668,93.407249133,81.830694375,2.97173041782,8.60482434018
 01/06  23:00:00,78.7122905098,18.6776680057,13.1140315458,0.0,4.12243109448,15.9888894789,77.9828983215,74.9911679037,2.97173041782,0.02
 01/06  24:00:00,91.0134516759,24.0821682526,16.0298911672,0.249096222459,4.12243109448,15.9888894789,99.9672852756,96.9755548578,2.97173041782,0.02
 01/07  01:00:00,79.7173211784,19.9518122978,12.3479079198,1.06531163026,4.12243109448,15.9888894789,81.5442292957,78.5524988779,2.97173041782,0.02
 01/07  02:00:00,88.6086020224,23.1020572587,15.2402523563,0.0,4.12243109448,15.9888894789,103.488303439,100.496573021,2.97173041782,0.02
 01/07  03:00:00,79.3701289609,19.7067845493,11.7467075916,1.52346869694,4.12243109448,15.9888894789,83.9488125039,80.9570820861,2.97173041782,0.02
 01/07  04:00:00,92.712531541,24.5722237495,14.5896105069,3.07992143163,4.12243109448,15.9888894789,105.937590359,102.945859941,2.97173041782,0.02
 01/07  05:00:00,104.127526809,29.6826906982,16.6214192343,5.24451232981,4.12243109448,16.0517297156,125.669577864,122.677847446,2.97173041782,0.02
 01/07  06:00:00,110.93282917,30.1727461951,16.1990522902,8.24930577994,4.12243109448,16.0517297156,126.885651166,123.893920748,2.97173041782,0.02
 01/07  07:00:00,140.919119235,30.662801692,15.9942384105,11.884926214,4.12243109448,39.6058045677,107.380169918,104.388439501,2.97173041782,0.02
 01/07  08:00:00,201.721204247,30.6844329448,19.4019251435,44.9171930499,12.3672932834,65.3531420225,164.55649555,159.58361152,4.9528840297,0.02
 01/07  09:00:00,187.668920732,30.6801038883,20.8325091533,34.3993330927,12.3672932834,68.2430321324,159.193628676,154.220744646,4.9528840297,0.02
 01/07  10:00:00,209.708916531,30.7126911679,22.2071269122,23.6592023865,16.4897243779,93.1370602926,144.591662597,136.647048149,7.92461444751,0.02
 01/07  11:00:00,206.097717152,30.7205935452,24.3259203645,18.2491123609,16.4897243779,93.1370602926,136.537482876,128.592868428,7.92461444751,0.02
 01/07  12:00:00,207.01579769,30.7646092409,26.404547518,15.0030720091,16.4897243779,93.1370602926,139.940776056,123.40458406,7.92461444751,8.61157754791
 01/07  13:00:00,200.771261677,30.8251305634,28.3754353429,13.259764797,16.4897243779,83.9857416113,127.74605174,119.801437293,7.92461444751,0.02
 01/07  14:00:00,202.218893621,30.9424155766,30.5736522197,11.8183027169,16.4897243779,83.9857416113,125.02764291,117.083028463,7.92461444751,0.02
 01/07  15:00:00,202.208182126,31.0104304466,31.7804490417,10.4615154815,16.4897243779,83.9857416113,122.894381389,114.949766942,7.92461444751,0.02
 01/07  16:00:00,173.656177829,30.662801692,29.9855883794,0.0,12.3672932834,70.6512738906,65.5948464803,60.6219624506,4.9528840297,0.02
 01/07  17:00:00,175.358338972,30.662801692,30.8836881173,0.0,12.3672932834,70.6512738906,64.5446332039,59.5717491742,4.9528840297,0.02
 01/07  18:00:00,171.757693293,30.662801692,29.4957372588,0.0928399598599,12.3672932834,58.1284167478,72.0908868128,67.1180027831,4.9528840297,0.02
 01/07  19:00:00,135.154722398,27.7224687105,25.170008259,0.0,12.3672932834,24.9413748627,97.0475225743,92.0746385446,4.9528840297,0.02
 01/07  20:00:00,127.039043762,27.9674964589,21.7655035357,0.0,12.3672932834,24.9413748627,105.878949042,100.906065012,4.9528840297,0.02
 01/07  21:00:00,109.564763867,28.7025797043,19.9517546001,0.302782468195,4.12243109448,16.0517297156,116.055901829,113.064171411,2.97173041782,0.02
 01/07  22:00:00,92.7984755906,22.1779749684,16.4920738014,0.0,4.12243109448,15.9888894789,98.8519569333,95.8602265155,2.97173041782,0.02
 01/07  23:00:00,81.1401354069,18.481645807,13.5734215819,0.0,4.12243109448,15.9888894789,85.4244228112,82.4326923933,2.97173041782,0.02
 01/07  24:00:00,92.1570038268,23.1020572587,16.5470900298,0.0,4.12243109448,15.9888894789,117.695068188,106.121561098,2.97173041782,8.6017766719
 01/08  01:00:00,76.9648608272,18.7756791051,12.5376873597,0.327249959008,2.06121554724,15.9888894789,88.7141728803,85.7224424625,2.97173041782,0.02
 01/08  02:00:00,94.469758611,25.5523347433,15.1412939233,6.20713336122,2.06121554724,15.9888894789,110.954219885,107.962489467,2.97173041782,0.02
 01/08  03:00:00,82.1907851193,20.4418677947,11.4619733539,6.59096522471,2.06121554724,15.9888894789,88.510941951,85.5192115332,2.97173041782,0.02
 01/08  04:00:00,96.4712980919,25.5523347433,13.9524735579,10.2708008028,2.06121554724,15.9888894789,111.284619285,108.292888867,2.97173041782,0.02
 01/08  05:00:00,83.8424072463,20.4418677947,10.7380410202,9.62680615805,2.06121554724,15.9888894789,90.2215324665,87.2298020486,2.97173041782,0.02
