PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,san jose ca,,,,,,,,,
Location:,"SAN FRANCISCO, CA",,,,,,,,,
Lat (deg N):,37.62,,,,,,,,,
Long (deg W):,122.38,,,,,,,,,
Elev (m):,5,,,,,,,,,
DC System Size (kW):,200,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,37.3,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.14,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,7,19,0,0,11.1,2.1,0,11.1,0,0
1,7,20,0,0,12.2,3.1,0,12.2,0,0
1,7,21,0,0,12.2,6.2,0,12.2,0,0
1,7,22,0,0,12.2,3.6,0,12.2,0,0
1,7,23,0,0,11.7,2.1,0,11.7,0,0
1,8,0,0,0,11.1,0,0,11.1,0,0
1,8,1,0,0,10.6,0,0,10.6,0,0
1,8,2,0,0,10,0,0,10,0,0
1,8,3,0,0,9.4,1.5,0,9.4,0,0
1,8,4,0,0,10,1.5,0,10,0,0
1,8,5,0,0,10,1.5,0,10,0,0
1,8,6,0,0,9.4,2.1,0,9.4,0,0
1,8,7,0,13,10,1.5,11.288,8.018,2096.521,945.306
1,8,8,1,72,11.1,1.5,74.811,11.132,13701.385,12325.838
1,8,9,1,93,12.2,0,86.623,13.483,15704.011,14287.429
1,8,10,231,169,11.7,3.1,403.943,19.922,71015.008,68194.969
1,8,11,45,175,13.3,2.6,223.165,18.353,39575.699,37617.348
1,8,12,17,184,12.8,3.1,192.264,16.308,34418.285,32585.205
1,8,13,9,142,12.2,5.2,140.219,13.846,25379.432,23754.969
1,8,14,100,150,12.8,4.1,251.157,17.052,44721.281,42633.43
1,8,15,219,96,12.8,2.1,259.564,18.735,45363.004,43258.68
1,8,16,102,42,12.2,2.1,107.587,14.045,18757.816,17277.346
1,8,17,4,1,11.1,3.6,2.107,9.714,349.099,0
1,8,18,0,0,10.6,4.1,0,10.6,0,0
1,8,19,0,0,10.6,3.6,0,10.6,0,0
1,8,20,0,0,10,3.6,0,10,0,0
1,8,21,0,0,8.9,3.1,0,8.9,0,0
1,8,22,0,0,7.8,2.6,0,7.8,0,0
1,8,23,0,0,8.9,3.1,0,8.9,0,0
1,9,0,0,0,8.3,0,0,8.3,0,0
1,9,1,0,0,5.6,1.5,0,5.6,0,0
1,9,2,0,0,5.6,1.5,0,5.6,0,0
1,9,3,0,0,5,2.1,0,5,0,0
1,9,4,0,0,4.4,1.5,0,4.4,0,0
1,9,5,0,0,4.4,1.5,0,4.4,0,0
1,9,6,0,0,4.4,1.5,0,4.4,0,0
1,9,7,2,12,5.6,1.5,11.114,3.527,2086.643,935.61
1,9,8,170,65,7.8,1.5,175.431,10.854,31367.787,29606.67
1,9,9,429,104,8.9,0,445.348,25.681,75652.711,72691.305
1,9,10,189,167,7.8,3.1,349.789,15.683,62697.18,60121.5
1,9,11,139,168,7.2,1.5,317.445,15.951,56898.168,54485.879
1,9,12,329,196,10,1.5,550.635,25.26,94554.281,90978.805
1,9,13,97,206,11.7,1.5,308.831,20.958,54101.758,51766.207
1,9,14,337,133,11.1,1.5,429.213,22.855,74273.18,71354.203
1,9,15,39,94,11.7,4.1,123.408,13.749,22241.139,20685.852
1,9,16,4,24,11.1,3.1,22.538,10.195,4118.59,2929.938
1,9,17,0,0,10.6,2.1,0,10.6,0,0
1,9,18,0,0,9.4,3.6,0,9.4,0,0
1,9,19,0,0,8.9,3.1,0,8.9,0,0
1,9,20,0,0,9.4,3.1,0,9.4,0,0
1,9,21,0,0,8.3,3.1,0,8.3,0,0
1,9,22,0,0,7.2,1,0,7.2,0,0
1,9,23,0,0,5,1,0,5,0,0
1,10,0,0,0,4.4,1.5,0,4.4,0,0
1,10,1,0,0,5,1,0,5,0,0
1,10,2,0,0,3.9,1,0,3.9,0,0
1,10,3,0,0,3.9,1,0,3.9,0,0
1,10,4,0,0,3.3,1.5,0,3.3,0,0
1,10,5,0,0,4.4,1,0,4.4,0,0
1,10,6,0,0,3.3,1.5,0,3.3,0,0
1,10,7,24,15,3.9,1,25.752,2.001,4692.193,3492.794
1,10,8,109,87,7.2,0,168.633,11.557,30316.199,28579.521
1,10,9,111,139,7.8,1.5,241.415,13.528,43569.68,41511.199
1,10,10,290,163,8.3,2.1,445.134,19.192,78500.188,75450.172
1,10,11,348,198,9.4,2.6,564.857,23.136,97948,94255.82
1,10,12,161,231,10,2.6,419.698,20.469,73706.5,70804.867
1,10,13,152,171,10.6,1.5,329.67,19.946,58009.766,55566.602
1,10,14,68,159,10.6,1.5,223.287,16.466,39885.297,37919.281
1,10,15,34,96,10.6,1.5,122.612,13.01,22184.563,20630.508
1,10,16,2,27,11.1,4.6,24.509,10.351,4492.083,3296.44
1,10,17,0,1,10,2.6,0.898,8.168,166.627,0
