PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,phoenix az,,,,,,,,,
Location:,"PHOENIX, AZ",,,,,,,,,
Lat (deg N):,33.43,,,,,,,,,
Long (deg W):,112.02,,,,,,,,,
Elev (m):,339,,,,,,,,,
DC System Size (kW):,250,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,33.4,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.1,,,,,,,,,
Capacity Factor (%),"20.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,5,16,0,23,13.9,1.5,20.421,12.604,4646.25,3169.8
1,5,17,0,5,13.9,1.5,4.425,11.894,1009.909,0
1,5,18,0,0,13.3,1.5,0,13.3,0,0
1,5,19,0,0,12.8,2.1,0,12.8,0,0
1,5,20,0,0,13.3,2.1,0,13.3,0,0
1,5,21,0,0,13.3,3.1,0,13.3,0,0
1,5,22,0,0,12.2,1.5,0,12.2,0,0
1,5,23,0,0,11.1,3.1,0,11.1,0,0
1,6,0,0,0,10.6,0,0,10.6,0,0
1,6,1,0,0,10.6,0,0,10.6,0,0
1,6,2,0,0,10,0,0,10,0,0
1,6,3,0,0,9.4,0,0,9.4,0,0
1,6,4,0,0,9.4,0,0,9.4,0,0
1,6,5,0,0,8.9,0,0,8.9,0,0
1,6,6,0,0,8.3,0,0,8.3,0,0
1,6,7,7,8,8.3,2.1,9.444,6.463,2119.856,690.007
1,6,8,31,64,8.3,3.1,84.435,8.569,19316.771,17552.51
1,6,9,1,128,8.9,2.1,126.627,10.621,29061.799,27090.139
1,6,10,356,242,11.1,2.1,579.566,25.105,124222.297,119544.875
1,6,11,683,169,13.3,2.6,839.516,33.942,172724.875,166193.375
1,6,12,693,181,14.4,3.1,888.398,35.629,181366.922,174471.391
1,6,13,670,193,15.6,2.1,856.859,38.805,172115.563,165609.344
1,6,14,587,195,16.7,1.5,727.692,38.532,146074.141,140601.094
1,6,15,561,155,16.1,1.5,574.909,33.382,117422.898,112979.766
1,6,16,255,82,15.6,0,229.855,27.684,47177.883,44786.258
1,6,17,44,5,14.4,0,25.367,15.374,5189.316,3702.734
