Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 04/14  16:00:00,78.8561372295,7.74233064884,24.9351914848,0.0,18.7433767983,27.431320555,18.045,0.0,18.025,0.02
 04/14  17:00:00,89.8579867795,7.90516705173,23.5862380103,0.0,17.6635504202,40.6971502883,5.76324009913,0.0,0.0,5.76324009913
 04/14  18:00:00,94.6379366271,7.95252585865,21.8147185929,0.0,27.5259009287,37.3340067412,5.78204457014,0.0,0.0,5.78204457014
 04/14  19:00:00,97.6417048892,7.95195437703,20.6093304896,0.0,33.8341110165,33.3544677425,5.77090061824,0.0,0.0,5.77090061824
 04/14  20:00:00,110.784928665,8.03843152803,19.8599193277,0.0,36.5179666069,38.8247702939,5.77083979319,0.0,0.0,5.77083979319
 04/14  21:00:00,103.650346985,7.95882223544,18.3204900765,0.0,32.965339924,36.8579353714,11.550659549,0.0,0.0,11.550659549
 04/14  22:00:00,75.5588883783,7.44806119802,14.28657062,0.0,25.6355707503,20.6438685092,5.77436911253,0.0,0.0,5.77436911253
 04/14  23:00:00,52.2842981358,7.0109190241,11.0015786274,0.0,15.0252895274,11.7056064465,5.75957937755,0.0,0.0,5.75957937755
 04/14  24:00:00,45.1749350348,6.79969346362,9.12906724423,0.0,11.6412384099,10.0650221343,0.02,0.0,0.0,0.02
 04/15  01:00:00,44.8298431182,6.66383553557,7.72091313897,0.0,12.8411359301,10.0650221343,6.1052271998,0.353126195745,0.0,5.75210100405
 04/15  02:00:00,38.7362853761,6.50452625459,6.40571268654,0.0,8.25718729233,10.0299323277,0.973765725978,0.953765725978,0.0,0.02
 04/15  03:00:00,37.7238563271,6.39645993141,5.50134569247,0.0,8.25718729233,10.0299323277,1.51852511847,1.49852511847,0.0,0.02
 04/15  04:00:00,38.4216476114,6.3013022775,4.68782261442,0.0,8.25718729233,11.6354268332,8.33424189953,2.57846438234,0.0,5.75577751719
 04/15  05:00:00,41.8784978669,6.21959645784,4.0682132191,0.0,8.71707943955,15.3327214929,9.72635567206,3.96704634249,0.0,5.75930932957
 04/15  06:00:00,62.9727485908,6.33492048383,4.95140911809,0.0,18.5082010057,25.6353820695,4.24545266288,4.22545266288,0.0,0.02
 04/15  07:00:00,74.5416246226,6.65482832868,7.40173376285,0.0,19.4083231844,41.0650158608,15.4104315451,3.85917589889,0.0,11.5512556462
 04/15  08:00:00,103.615852389,7.11370386982,12.1408301138,0.0,26.3286599382,57.9988325916,23.7418851535,0.321455196117,0.0,23.4204299574
 04/15  09:00:00,89.7896305578,6.95899255448,13.6225851911,0.0,26.3286599382,42.8504436482,35.5376806683,0.0,18.025,17.5126806683
