Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/11  11:00:00,128.573843757,9.20068491136,27.0069621313,0.0,44.73757,44.63617,28.6510738907,1.72161390158,24.0426,2.88685998911
 08/11  12:00:00,134.032917695,9.20068491136,33.1281636123,0.0,44.73757,44.63617,26.9296943533,0.0,24.0426,2.88709435331
 08/11  13:00:00,132.355946564,9.20068491136,34.2104258149,0.0,44.73757,41.8366005,18.9430111176,0.0276466196796,16.0284,2.88696449795
 08/11  14:00:00,130.427867301,9.20068491136,32.2805450577,0.0,44.73757,41.8366005,18.9152350932,0.0,16.0284,2.88683509319
 08/11  15:00:00,129.937855846,9.20068491136,33.0050880412,0.0,44.73757,40.636785,3.22568,0.0,3.20568,0.02
 08/11  16:00:00,128.421527552,9.20513091056,31.5996030841,0.0,44.73757,40.636785,6.09274938998,0.0,3.20568,2.88706938998
 08/11  17:00:00,106.684328989,9.20232876022,27.9269938486,0.0,44.73757,22.606085,6.09261964105,0.0,3.20568,2.88693964105
 08/11  18:00:00,103.753140219,9.20068491136,25.0242872044,0.0,44.73757,22.606085,8.97184999378,0.0,3.20568,5.76616999378
 08/11  19:00:00,99.5374552797,9.20068491136,20.8497457803,0.0,44.73757,22.606085,9.01903592005,0.0399274122093,3.20568,5.77342850784
 08/11  20:00:00,72.9862600505,9.20068491136,14.7674072687,0.0,15.863942322,22.606085,9.10830852061,0.132968510276,3.20568,5.76966001034
 08/11  21:00:00,48.3899829481,0.0,0.0,0.0,15.863942322,22.030085,8.97526232549,0.0,3.20568,5.76958232549
 08/11  22:00:00,48.4183757554,0.0,0.0,0.0,15.863942322,22.030085,6.09391417849,0.0,3.20568,2.88823417849
 08/11  23:00:00,49.1342921094,0.0,0.0,0.0,15.863942322,22.030085,6.09207983171,0.0,3.20568,2.88639983171
 08/11  24:00:00,48.4197560009,0.0,0.0,0.0,15.863942322,22.030085,6.08935474491,0.0,3.20568,2.88367474491
 08/12  01:00:00,48.4096706305,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  02:00:00,48.4013852753,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  03:00:00,48.3944876297,0.0,0.0,0.0,15.863942322,22.030085,6.08804513908,0.0,3.20568,2.88236513908
 08/12  04:00:00,48.6051824858,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  05:00:00,48.5773272446,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  06:00:00,42.8794209193,0.0,0.0,0.0,15.863942322,22.030085,6.08813724074,0.0,3.20568,2.88245724074
 08/12  07:00:00,39.9710670767,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  08:00:00,40.0010045177,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  09:00:00,40.0563287567,0.0,0.0,0.0,15.863942322,22.030085,6.08942682278,0.0,3.20568,2.88374682278
 08/12  10:00:00,40.0832485781,0.0,0.0,0.0,15.863942322,22.030085,6.08930861579,0.0,3.20568,2.88362861579
 08/12  11:00:00,40.7918447818,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  12:00:00,40.1225085332,0.0,0.0,0.0,15.863942322,22.030085,6.08938961551,0.0,3.20568,2.88370961551
 08/12  13:00:00,40.1767540689,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  14:00:00,40.2003833004,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  15:00:00,49.6642488325,1.17068932251,8.30524780044,0.0,15.863942322,22.030085,6.08814939069,0.0,3.20568,2.88246939069
 08/12  16:00:00,53.7666027664,1.75694842303,11.921246135,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  17:00:00,53.9648253244,1.81413105699,12.0679091104,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  18:00:00,42.4965398714,0.328731952228,2.11047413762,0.0,15.863942322,22.030085,6.0881080995,0.0,3.20568,2.8824280995
 08/12  19:00:00,40.2780359578,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  20:00:00,48.8085382159,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  21:00:00,48.6467227498,0.0,0.0,0.0,15.863942322,22.030085,6.08813320243,0.0,3.20568,2.88245320243
 08/12  22:00:00,48.4512594844,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/12  23:00:00,49.1244752705,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
