Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/04  13:00:00,121.7122712,3.199969066,7.032764052,1.713217374,48.24748821,61.51039245,2.189692248,0,2.189692248,
 01/04  14:00:00,123.1180514,3.290975227,7.779970837,0.130941607,48.24748821,63.66023546,2.189704294,0,2.189704294,
 01/04  15:00:00,118.8630155,3.241455543,7.237484134,0,48.24748821,60.12814755,2.188240137,0,2.188240137,
 01/04  16:00:00,117.7821916,3.081049855,6.317065859,0,48.24748821,60.12814755,1.103914777,0,1.103914777,
 01/04  17:00:00,121.6608026,3.048155759,4.783748846,0.087598696,48.24748821,63.01803766,2.188650596,0,2.188650596,
 01/04  18:00:00,122.2668027,3.11982201,2.259459332,1.754469051,37.52582416,62.79478806,1.103770318,0,1.103770318,
 01/04  19:00:00,86.90154531,2.902461137,0.102507996,6.261797007,26.80416012,36.01817895,1.103689438,0,1.103689438,
 01/04  20:00:00,86.26677782,2.902461137,0,8.298328723,26.80416012,33.44938775,1.10343543,0,1.10343543,
 01/04  21:00:00,74.53846094,2.902461137,0,12.65250792,16.08249607,28.08855572,1.103370576,0,1.103370576,
 01/04  22:00:00,75.9004036,2.902461137,0,15.29884618,16.08249607,26.80416012,1.103081573,0,1.103081573,
 01/04  23:00:00,41.61660021,0,0,0,5.360832023,21.44332809,0.02,0,0.02,
 01/04  24:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102965875,0,1.102965875,
 01/05  01:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/05  02:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/05  03:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102964824,0,1.102964824,
 01/05  04:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/05  05:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102966553,0,1.102966553,
 01/05  06:00:00,41.61660021,0,0,0,5.360832023,21.44332809,0.02,0,0.02,
 01/05  07:00:00,88.43966284,2.902461137,0,43.92060149,5.360832023,21.44332809,1.103039221,0,1.103039221,
 01/05  08:00:00,86.58209243,2.902461137,0,34.90690549,16.08249607,32.68178963,1.103446977,0,1.103446977,
 01/05  09:00:00,136.8039892,2.970684748,0,15.1740638,48.24748821,70.40331239,1.103972611,0,1.103972611,
 01/05  10:00:00,123.8369856,2.902461137,0,10.62385522,48.24748821,62.05474096,2.188335128,0,2.188335128,
 01/05  11:00:00,116.6718244,2.902461137,0,5.385287441,48.24748821,60.12814755,1.104264133,0,1.104264133,
 01/05  12:00:00,117.3418459,2.90990902,0.950029377,3.171238253,48.24748821,62.05474096,2.188946246,0,2.188946246,
 01/05  13:00:00,118.8859832,2.970240765,2.392562599,3.756859099,48.24748821,61.51039245,3.274327898,0,3.274327898,
 01/05  14:00:00,118.6748152,2.989368666,2.239934814,1.529347908,48.24748821,63.66023546,2.18965028,0,2.18965028,
 01/05  15:00:00,115.5803469,2.91078425,2.270022231,2.015464517,48.24748821,60.12814755,2.18802278,0,2.18802278,
 01/05  16:00:00,115.0157454,2.913966081,0.336965502,3.380737945,48.24748821,60.12814755,1.103937982,0,1.103937982,
 01/05  17:00:00,121.2900479,2.993987186,0,4.554761438,48.24748821,63.01803766,2.188700701,0,2.188700701,
 01/05  18:00:00,124.9230768,3.07512813,0,6.714896376,37.52582416,62.79478806,1.103717245,0,1.103717245,
 01/05  19:00:00,92.4715993,2.902461137,0,11.934359,26.80416012,36.01817895,1.103606215,0,1.103606215,
 01/05  20:00:00,92.49342172,2.902461137,0,14.52497263,26.80416012,33.44938775,1.103364828,0,1.103364828,
 01/05  21:00:00,82.52092312,2.902461137,0,20.6349701,16.08249607,28.08855572,1.103420498,0,1.103420498,
 01/05  22:00:00,84.22926748,2.902461137,0,23.62771006,16.08249607,26.80416012,0.02,0,0.02,
 01/05  23:00:00,41.61660021,0,0,0,5.360832023,21.44332809,1.10306035,0,1.10306035,
 01/05  24:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/06  01:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102965769,0,1.102965769,
 01/06  02:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/06  03:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102965468,0,1.102965468,
 01/06  04:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/06  05:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/06  06:00:00,41.61660021,0,0,0,5.360832023,21.44332809,1.103070206,0,1.103070206,
 01/06  07:00:00,93.26385177,2.902461137,0,48.74479043,5.360832023,21.44332809,0.02,0,0.02,
 01/06  08:00:00,91.63858054,2.902461137,0,39.9633936,16.08249607,32.68178963,1.103404597,0,1.103404597,
 01/06  09:00:00,140.8558862,2.950619778,0,19.24602577,48.24748821,70.40331239,2.18807142,0,2.18807142,
