"PVWatts: Hourly PV Performance Data"
"Requested Location:","28155 christopher lane"
"Location:","SPOKANE, WA"
"Lat (deg N):","47.63"
"Long (deg W):","117.53"
"Elev (m):","721"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","47.5"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","14.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","26","9","807","30","5","5.7","701.538","17.094","2490.849","2397.356"
"11","26","10","852","37","6.1","7.7","835.001","18.328","2958.792","2846.019"
"11","26","11","877","39","6.7","7.2","895.817","20.583","3143.867","3022.953"
"11","26","12","797","43","6.1","6.7","807.481","19.26","2850.064","2741.937"
"11","26","13","808","36","6.1","5.2","736.789","20.101","2584.119","2486.932"
"11","26","14","365","74","5","4.6","373.922","12.55","1348.063","1293.813"
"11","26","15","118","31","2.8","3.1","113.809","4.764","416.627","386.132"
"11","26","16","0","0","2.2","4.1","0","2.2","0","0"
"11","26","17","0","0","2.8","3.1","0","2.8","0","0"
"11","26","18","0","0","3.3","5.2","0","3.3","0","0"
"11","26","19","0","0","3.9","5.7","0","3.9","0","0"
"11","26","20","0","0","0.6","3.6","0","0.6","0","0"
"11","26","21","0","0","0.6","4.1","0","0.6","0","0"
"11","26","22","0","0","0.6","4.6","0","0.6","0","0"
"11","26","23","0","0","1.1","5.2","0","1.1","0","0"
"11","27","0","0","0","1.7","4.1","0","1.7","0","0"
"11","27","1","0","0","2.8","5.2","0","2.8","0","0"
"11","27","2","0","0","3.3","4.6","0","3.3","0","0"
"11","27","3","0","0","4.4","6.7","0","4.4","0","0"
"11","27","4","0","0","4.4","4.6","0","4.4","0","0"
"11","27","5","0","0","4.4","8.2","0","4.4","0","0"
"11","27","6","0","0","5","6.7","0","5","0","0"
"11","27","7","2","20","5","6.7","19.396","4.242","73.005","49.407"
"11","27","8","4","83","5","6.7","99.793","5.464","374.606","345.008"
"11","27","9","3","93","5","5.7","90.055","5.441","338.221","309.388"
"11","27","10","5","165","5.6","6.2","178.415","7.541","664.086","628.001"
"11","27","11","4","141","5.6","6.7","140.116","6.917","522.955","490.122"
"11","27","12","7","157","5.6","6.7","166.614","7.311","620.779","585.709"
"11","27","13","1","128","5.6","6.7","132.188","6.772","493.673","461.494"
"11","27","14","3","82","5.6","7.2","87.815","5.977","328.976","300.335"
"11","27","15","1","28","5","7.2","29.335","4.403","110.579","86.276"
"11","27","16","0","0","4.4","6.7","0","4.4","0","0"
"11","27","17","0","0","4.4","4.1","0","4.4","0","0"
"11","27","18","0","0","3.3","1.5","0","3.3","0","0"
"11","27","19","0","0","2.8","1.5","0","2.8","0","0"
"11","27","20","0","0","3.3","4.1","0","3.3","0","0"
"11","27","21","0","0","3.3","2.1","0","3.3","0","0"
"11","27","22","0","0","2.8","3.6","0","2.8","0","0"
"11","27","23","0","0","2.8","4.1","0","2.8","0","0"
"11","28","0","0","0","2.8","3.1","0","2.8","0","0"
"11","28","1","0","0","2.8","2.6","0","2.8","0","0"
"11","28","2","0","0","2.2","6.2","0","2.2","0","0"
"11","28","3","0","0","1.7","6.2","0","1.7","0","0"
"11","28","4","0","0","1.7","5.2","0","1.7","0","0"
"11","28","5","0","0","1.7","4.1","0","1.7","0","0"
"11","28","6","0","0","1.7","3.1","0","1.7","0","0"
"11","28","7","0","19","1.7","0","17.186","-1.628","66.518","43.04"
"11","28","8","1","72","2.2","2.6","79.876","2.316","304.017","275.893"
"11","28","9","0","76","2.2","3.1","67.384","2.186","256.656","229.496"
"11","28","10","2","105","2.8","4.1","97.433","3.427","369.145","339.663"
"11","28","11","2","192","2.8","3.6","209.712","6.19","785.183","746.172"
"11","28","12","2","98","3.3","3.1","88.628","4.185","334.7","305.94"
"11","28","13","0","87","3.3","3.6","78.447","3.576","297.032","269.051"
